127.0.0.1 - - [24/Mar/2020:14:31:45 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:31:47 +0530] "GET /Project_3/ HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:31:47 +0530] "GET /Project_3/img/p3.png HTTP/1.1" 200 314790
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:31:47 +0530] "GET /Project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:31:50 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 4737
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:31:50 +0530] "GET /Project_3/jsp/p3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:32:22 +0530] "GET /Project_3/LoginCtl HTTP/1.1" 200 6549
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:32:55 +0530] "POST /Project_3/LoginCtl HTTP/1.1" 200 6773
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:33:13 +0530] "POST /Project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:33:13 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10763
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:33:35 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15531
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:34:11 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14522
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:41:23 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14535
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:41:26 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14535
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:46:33 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14663
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:47:36 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14522
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:48:47 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14635
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:55:15 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:55:18 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14635
0:0:0:0:0:0:0:1 - - [24/Mar/2020:14:55:32 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14764
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:01:30 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14725
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:01:40 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14725
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:01:44 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14725
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:03:59 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14738
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:04:35 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14725
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:05:19 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14722
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:06:28 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14728
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:07:17 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14726
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:07:23 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15531
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:07:30 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14726
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:07:53 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14738
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:08:13 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14738
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:10:14 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15531
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:10:49 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14739
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:10:54 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14739
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:15:04 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14738
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:15:21 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14738
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:15:36 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14738
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:17:26 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14750
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:17:40 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14738
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:17:48 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15531
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:19:14 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14738
0:0:0:0:0:0:0:1 - - [24/Mar/2020:15:19:42 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14738
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:25:53 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 8731
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:25:59 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 4737
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:26:43 +0530] "GET /Project_3/ForgetPasswordCtl HTTP/1.1" 200 7460
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:26:52 +0530] "POST /Project_3/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:26:52 +0530] "GET /ctl/ErrorCtl1 HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:35:41 +0530] "GET /Project_3/ HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:35:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:35:52 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 4737
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:36:23 +0530] "GET /Project_3/ForgetPasswordCtl HTTP/1.1" 200 7460
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:36:49 +0530] "POST /Project_3/ForgetPasswordCtl HTTP/1.1" 200 7715
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:37:47 +0530] "GET /Project_3/UserRegistrationCtl HTTP/1.1" 200 11622
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:39:47 +0530] "POST /Project_3/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:39:47 +0530] "GET /Project_3/LoginCtl HTTP/1.1" 200 6549
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:41:46 +0530] "POST /Project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:41:46 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 6306
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:42:24 +0530] "GET /Project_3/LoginCtl?operation=logout HTTP/1.1" 200 6763
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:42:36 +0530] "POST /Project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:42:36 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10763
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:43:27 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15531
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:43:47 +0530] "GET /Project_3/ctl/TimeTableCtl?id=1 HTTP/1.1" 200 17198
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:43:56 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15531
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:44:07 +0530] "GET /Project_3/ctl/TimeTableCtl HTTP/1.1" 200 17091
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:50:19 +0530] "GET /Project_3/ctl/CourseListCtl HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:50:22 +0530] "GET /Project_3/ctl/CourseListCtl HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:51:35 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10763
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:53:44 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15531
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:55:09 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15531
0:0:0:0:0:0:0:1 - - [24/Mar/2020:18:55:18 +0530] "GET /Project_3/ctl/TimeTableCtl HTTP/1.1" 200 17091
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:02:20 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14738
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:07:46 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14738
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:07:56 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14738
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:10:49 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14750
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:11:06 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14774
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:11:31 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14745
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:11:45 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14738
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:12:02 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14750
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:14:45 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 12547
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:14:51 +0530] "GET /Project_3/ctl/FacultyCtl HTTP/1.1" 200 18727
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:16:28 +0530] "POST /Project_3/ctl/FacultyCtl HTTP/1.1" 200 18820
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:18:02 +0530] "POST /Project_3/ctl/FacultyCtl HTTP/1.1" 200 18792
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:18:28 +0530] "POST /Project_3/ctl/FacultyCtl HTTP/1.1" 200 18820
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:46:49 +0530] "GET /Project_3/LoginCtl?operation=logout HTTP/1.1" 200 6763
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:46:53 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 4737
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:47:15 +0530] "GET /Project_3/UserRegistrationCtl HTTP/1.1" 200 11622
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:49:54 +0530] "POST /Project_3/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:49:54 +0530] "GET /Project_3/LoginCtl HTTP/1.1" 200 6549
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:51:53 +0530] "POST /Project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:51:53 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 6305
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:52:13 +0530] "GET /Project_3/LoginCtl?operation=logout HTTP/1.1" 200 6763
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:52:27 +0530] "POST /Project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:52:27 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10763
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:52:42 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 15531
0:0:0:0:0:0:0:1 - - [24/Mar/2020:19:52:46 +0530] "GET /Project_3/ctl/TimeTableCtl HTTP/1.1" 200 17091
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:03:36 +0530] "POST /Project_3/ctl/TimeTableCtl HTTP/1.1" 200 11298
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:03:44 +0530] "GET /Project_3/LoginCtl HTTP/1.1" 200 6549
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:03:54 +0530] "POST /Project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:03:54 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10763
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:04:03 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 12547
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:04:07 +0530] "GET /Project_3/ctl/FacultyCtl HTTP/1.1" 200 18723
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:07:36 +0530] "POST /Project_3/ctl/FacultyCtl HTTP/1.1" 200 18829
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:09:07 +0530] "POST /Project_3/ctl/FacultyCtl HTTP/1.1" 200 19045
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:09:28 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15347
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:12:18 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 16037
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:12:23 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 14750
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:12:51 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15347
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:17:35 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15428
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:19:18 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15524
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:19:53 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15530
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:21:01 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 15530
