127.0.0.1 - - [15/Apr/2020:17:15:13 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:15:18 +0530] "GET /Project_3/ HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:15:36 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 4852
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:16:18 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 4847
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:17:00 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 4861
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:17:31 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:18:06 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:18:23 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:20:30 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:24:00 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 4866
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:26:07 +0530] "GET /Project_3/LoginCtl HTTP/1.1" 200 7873
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:26:33 +0530] "POST /Project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:26:34 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10923
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:32:58 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10923
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:33:05 +0530] "GET /Project_3/ctl/CollegeListCtl HTTP/1.1" 200 15460
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:33:43 +0530] "GET /Project_3/ctl/CollegeListCtl HTTP/1.1" 200 15460
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:34:45 +0530] "GET /Project_3/ctl/CourseListCtl HTTP/1.1" 200 15906
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:35:25 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 16503
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:36:07 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 16503
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:36:15 +0530] "GET /Project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16520
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:36:37 +0530] "GET /Project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 14539
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:39:45 +0530] "GET /Project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 14539
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:39:47 +0530] "GET /Project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 14539
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:39:53 +0530] "GET /Project_3/ctl/RoleListCtl HTTP/1.1" 200 15786
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:40:23 +0530] "GET /Project_3/ctl/StudentListCtl HTTP/1.1" 200 18156
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:40:40 +0530] "GET /Project_3/ctl/SubjectListCtl HTTP/1.1" 200 16468
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:40:47 +0530] "GET /Project_3/ctl/FacultyListCtl HTTP/1.1" 200 16503
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:40:51 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 18568
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:41:00 +0530] "GET /Project_3/ctl/TimeTableCtl?id=4 HTTP/1.1" 200 17702
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:42:07 +0530] "POST /Project_3/ctl/TimeTableCtl HTTP/1.1" 200 18138
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:42:29 +0530] "POST /Project_3/ctl/TimeTableCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:42:29 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 19069
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:42:42 +0530] "POST /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 18827
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:49:03 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 18573
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:51:10 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 18565
0:0:0:0:0:0:0:1 - - [15/Apr/2020:17:52:35 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 18569
